id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
1769,429,Visa,Debit,4.67E+15,Feb-20,314,NO,2,4612,01-02-2020,2020,No
421,429,Discover,Credit,6.38E+15,Jul-20,675,YES,2,19900,01-01-2020,2020,No
974,511,Mastercard,Debit (Prepaid),5.12E+15,Oct-20,42,YES,1,73,01-02-2000,2012,No
4707,511,Mastercard,Debit,5.38E+15,Jan-24,24,YES,1,11858,01-09-2009,2010,No
7,511,Mastercard,Debit,5.59E+15,Mar-05,749,YES,1,9664,01-01-1998,2011,No
2212,511,Mastercard,Debit,5.36E+15,Jun-20,810,YES,1,8367,01-03-2009,2009,No
1038,511,Visa,Credit,4.15E+15,Jun-22,135,YES,2,6100,01-02-2004,2009,No
1460,309,Mastercard,Debit,5.98E+15,Feb-20,630,YES,3,9944,01-02-2020,2020,No
747,309,Visa,Credit,4.47E+15,Jan-20,771,YES,1,7900,01-01-2020,2020,No
1770,309,Visa,Credit,4.80E+15,Dec-20,201,YES,1,5600,01-02-2020,2020,No
748,777,Visa,Debit,4.83E+15,Aug-23,580,YES,1,68400,01-01-2020,2020,No
441,777,Mastercard,Debit,5.28E+15,Apr-23,437,YES,2,77237,01-01-2020,2020,No
3679,1946,Visa,Debit,4.87E+15,Aug-24,701,YES,2,4488,01-07-2002,2015,No
5701,1946,Visa,Credit,4.23E+15,Feb-20,499,YES,2,12500,01-11-2014,2014,No
4510,1674,Mastercard,Debit,5.81E+15,Dec-20,734,YES,2,23432,01-09-2001,2008,No
2873,1674,Amex,Credit,3.67E+14,May-22,447,YES,2,8800,01-05-2005,2011,No
1461,482,Mastercard,Credit,5.39E+15,Feb-20,886,YES,2,12100,01-02-2020,2020,No
442,877,Mastercard,Debit,5.05E+15,Feb-20,931,YES,1,9708,01-01-2020,2020,No
3877,877,Amex,Credit,3.72E+14,Nov-21,683,YES,2,12000,01-07-2009,2011,No
2296,877,Mastercard,Debit,5.70E+15,Nov-23,230,YES,1,11973,01-03-2012,2012,No
5048,128,Mastercard,Debit,5.39E+15,Feb-22,658,YES,2,13601,01-10-2006,2014,No
1462,128,Mastercard,Credit,5.08E+15,Jan-24,849,YES,2,7800,01-02-2020,2020,No
4269,775,Visa,Debit,4.39E+15,Oct-23,790,YES,2,17816,01-08-2008,2016,No
5188,1536,Mastercard,Debit,5.22E+15,Mar-21,625,NO,2,17707,01-10-2010,2010,No
2874,1536,Amex,Credit,3.98E+14,Nov-20,2,YES,1,9500,01-05-2005,2009,No
3041,140,Mastercard,Debit,5.53E+15,Jan-22,182,YES,1,19110,01-05-2010,2011,No
5312,140,Mastercard,Debit,5.49E+15,Aug-23,196,YES,1,13428,01-10-2016,2016,No
4150,140,Mastercard,Debit,5.79E+15,Jun-22,43,YES,1,24608,01-08-2005,2009,No
152,140,Mastercard,Debit,5.85E+15,Sep-22,111,YES,1,13441,01-01-2008,2011,No
443,1884,Mastercard,Debit (Prepaid),5.75E+15,Feb-20,788,YES,2,74,01-01-2020,2020,No
3377,1874,Mastercard,Debit,5.43E+15,Oct-12,674,YES,1,17872,01-06-2008,2008,No
5789,1874,Mastercard,Credit,5.30E+15,Sep-22,425,YES,1,12900,01-12-2003,2010,No
2106,1874,Mastercard,Debit,5.57E+15,May-24,52,YES,2,25264,01-03-2006,2020,No
2078,1874,Mastercard,Debit,5.40E+15,Dec-22,920,YES,2,20634,01-03-2005,2007,No
5866,1310,Visa,Credit,4.30E+15,Apr-07,656,YES,2,12200,01-12-2006,2010,No
173,1310,Visa,Credit,4.74E+15,Feb-10,221,YES,2,5500,01-01-2008,2008,No
1771,1689,Visa,Credit,4.51E+15,Mar-20,281,NO,2,6600,01-02-2020,2020,No
6132,1689,Mastercard,Debit,5.07E+15,Nov-20,890,YES,1,25815,01-12-2017,2017,No
327,379,Amex,Credit,3.55E+14,Jun-21,527,YES,2,8400,01-01-2014,2014,No
2019,379,Mastercard,Debit,5.91E+15,Feb-20,525,YES,1,21628,01-03-2001,2008,No
3881,379,Mastercard,Debit,5.40E+15,Oct-21,412,YES,1,24232,01-07-2009,2009,No
1166,34,Mastercard,Debit,5.04E+15,Nov-23,339,YES,2,10775,01-02-2009,2010,No
3342,34,Mastercard,Debit (Prepaid),5.67E+15,Feb-20,598,YES,2,105,01-06-2007,2013,No
5622,822,Visa,Credit,4.34E+15,Jan-21,221,NO,2,7100,01-11-2010,2010,No
5424,822,Mastercard,Debit,5.99E+15,Jul-24,951,YES,1,29351,01-11-2005,2007,No
2558,822,Mastercard,Debit,5.28E+15,Mar-20,835,YES,2,15125,01-04-2008,2012,No
5385,822,Mastercard,Credit,5.62E+15,Nov-21,865,YES,2,8000,01-11-2003,2008,No
5596,822,Mastercard,Debit (Prepaid),5.31E+15,May-11,994,YES,1,83,01-11-2010,2010,No
3991,1499,Amex,Credit,3.11E+14,Jan-24,536,YES,2,23700,01-07-2012,2012,No
6126,1780,Visa,Credit,4.62E+15,Feb-24,986,YES,2,700,01-12-2016,2016,No
3756,1806,Mastercard,Debit,5.60E+15,Jul-24,594,YES,2,7488,01-07-2006,2016,No
971,811,Visa,Credit,4.17E+15,Jan-02,225,NO,1,24900,01-02-1999,2010,No
2079,811,Mastercard,Debit,5.25E+15,Jun-21,638,YES,2,30971,01-03-2005,2020,No
387,811,Amex,Credit,4.00E+14,Jan-24,343,YES,1,24400,01-01-2020,2020,No
444,811,Mastercard,Debit,5.06E+15,Feb-20,599,YES,2,53549,01-01-2020,2020,No
5277,811,Visa,Debit,4.91E+15,Sep-18,573,YES,1,53036,01-10-2013,2013,No
4358,811,Mastercard,Debit,5.70E+15,Dec-24,300,YES,1,35750,01-08-2011,2011,No
2318,811,Visa,Debit,4.06E+15,Jul-21,902,YES,1,33375,01-03-2013,2013,No
6019,1844,Visa,Debit (Prepaid),4.59E+15,Jul-23,858,YES,2,22,01-12-2010,2010,No
4421,1844,Discover,Credit,6.52E+15,Nov-20,608,YES,1,13100,01-08-2014,2014,No
3702,1844,Visa,Debit,4.20E+15,Oct-24,440,YES,1,16516,01-07-2003,2011,No
2854,1844,Mastercard,Credit,5.17E+15,Jul-16,906,YES,1,15700,01-05-2004,2011,No
4114,1844,Mastercard,Debit,5.21E+15,May-24,474,YES,1,21058,01-08-2003,2007,No
28,1852,Visa,Debit,4.01E+15,Oct-23,543,YES,2,36425,01-01-2002,2004,No
6127,1852,Visa,Debit (Prepaid),4.97E+15,Mar-21,585,YES,2,91,01-12-2016,2016,No
2477,1852,Mastercard,Credit,5.25E+15,Sep-21,379,YES,1,13400,01-04-2005,2014,No
2632,1852,Mastercard,Credit,5.91E+15,Apr-21,37,YES,2,21600,01-04-2010,2010,No
1463,1231,Mastercard,Debit,5.06E+15,Feb-20,12,NO,1,9090,01-02-2020,2020,No
5679,970,Visa,Debit,4.68E+15,Feb-23,846,NO,1,25942,01-11-2012,2012,No
1012,970,Mastercard,Credit,5.88E+15,Jul-19,614,YES,2,10700,01-02-2003,2013,No
1464,970,Mastercard,Credit,5.64E+15,Jul-22,630,YES,2,4900,01-02-2020,2020,No
1465,381,Mastercard,Credit,5.12E+15,Apr-22,587,NO,1,18100,01-02-2020,2020,No
388,1134,Amex,Credit,3.25E+14,Mar-24,659,YES,2,7200,01-01-2020,2020,No
3708,1296,Mastercard,Debit,5.03E+15,Feb-20,546,YES,2,22660,01-07-2004,2007,No
3087,1296,Discover,Credit,6.97E+15,Dec-22,588,YES,1,19800,01-05-2011,2011,No
67,1296,Mastercard,Credit,5.18E+15,Nov-24,820,YES,2,15500,01-01-2005,2014,No
80,1296,Visa,Debit (Prepaid),4.31E+15,Jun-23,458,YES,1,13,01-01-2005,2008,No
3665,1296,Mastercard,Debit,5.05E+15,Jun-21,526,YES,2,4317,01-07-2001,2011,No
2014,1880,Mastercard,Debit,5.46E+15,Dec-21,553,NO,1,14719,01-03-2000,2008,No
4906,1880,Mastercard,Debit,5.13E+15,May-21,593,YES,1,9532,01-09-2017,2017,No
3757,1880,Mastercard,Credit,5.75E+15,Mar-20,486,YES,1,10900,01-07-2006,2014,No
5365,322,Mastercard,Credit,5.49E+15,Sep-24,428,YES,2,6200,01-11-2001,2012,No
5425,322,Mastercard,Debit,5.79E+15,Dec-12,43,YES,2,2903,01-11-2005,2011,No
5758,322,Mastercard,Debit,5.39E+15,Oct-20,803,YES,2,4355,01-12-1999,2010,No
5482,461,Mastercard,Debit,5.18E+15,Apr-21,126,YES,1,28963,01-11-2007,2012,No
3172,461,Mastercard,Debit,5.10E+15,Dec-22,667,YES,2,20913,01-05-2016,2016,No
1209,461,Mastercard,Debit,5.03E+15,Jul-24,170,YES,1,23344,01-02-2010,2010,No
5313,461,Mastercard,Debit,5.61E+15,Jan-20,882,YES,2,33642,01-10-2016,2016,No
4762,1165,Mastercard,Debit,5.04E+15,Jan-22,681,YES,1,14695,01-09-2010,2011,No
126,1448,Mastercard,Credit,5.57E+15,Sep-23,510,YES,1,13200,01-01-2007,2015,No
4685,1448,Visa,Debit,4.08E+15,Jan-20,173,YES,1,29950,01-09-2008,2013,No
5907,1448,Visa,Credit,4.83E+15,Jul-24,768,YES,2,4600,01-12-2007,2011,No
2428,1288,Mastercard,Debit,5.46E+15,Dec-22,92,YES,1,10051,01-04-2002,2011,No
1013,1288,Mastercard,Debit,5.88E+15,Dec-15,729,YES,2,9796,01-02-2003,2013,No
5145,1178,Mastercard,Debit,5.77E+15,Oct-21,957,YES,1,17826,01-10-2009,2009,No
5854,1178,Mastercard,Debit,5.59E+15,Nov-24,778,YES,1,19086,01-12-2006,2009,No
5296,1178,Visa,Debit,4.41E+15,Jun-24,265,YES,2,17345,01-10-2014,2014,No
1327,1178,Visa,Debit,4.47E+15,Sep-20,923,YES,2,17976,01-02-2013,2013,No
383,1178,Visa,Debit,4.80E+15,Jan-22,279,YES,2,16447,01-01-2019,2019,No
5129,1391,Visa,Debit,4.19E+15,Oct-24,271,YES,2,29573,01-10-2008,2009,No
5995,1391,Mastercard,Debit (Prepaid),5.44E+15,Dec-21,48,YES,2,98,01-12-2010,2010,No
4107,1391,Mastercard,Debit,5.65E+15,Aug-19,71,YES,2,2559,01-08-2002,2012,No
36,1391,Mastercard,Debit,5.91E+15,Oct-12,436,YES,2,6552,01-01-2003,2010,No
445,838,Mastercard,Credit,5.19E+15,Jan-21,591,YES,2,13800,01-01-2020,2020,No
1466,54,Mastercard,Debit,5.96E+15,Aug-20,746,YES,1,16375,01-02-2020,2020,No
749,54,Visa,Debit,4.56E+15,May-23,780,YES,1,14213,01-01-2020,2020,No
1772,54,Visa,Debit (Prepaid),4.88E+15,Sep-20,2,YES,1,73,01-02-2020,2020,No
3801,1452,Mastercard,Debit,5.48E+15,Nov-22,688,YES,2,53466,01-07-2007,2013,No
282,1602,Visa,Credit,4.70E+15,Sep-20,450,YES,1,6600,01-01-2011,2013,No
6105,1602,Mastercard,Credit,5.58E+15,Jun-22,806,NO,2,7200,01-12-2015,2015,No
446,1938,Mastercard,Debit,5.10E+15,Nov-20,856,YES,1,2868,01-01-2020,2020,No
422,1938,Discover,Credit,6.18E+15,May-24,97,YES,1,3400,01-01-2020,2020,No
5231,1492,Mastercard,Debit,5.19E+15,Jan-22,446,YES,1,12915,01-10-2011,2013,No
2615,1492,Visa,Debit (Prepaid),4.86E+15,Dec-23,366,YES,2,84,01-04-2009,2017,No
2776,1492,Discover,Credit,6.42E+15,Jul-21,504,YES,2,17600,01-04-2018,2018,No
5452,1492,Mastercard,Debit,5.52E+15,Dec-12,621,YES,1,31542,01-11-2006,2009,No
3563,1492,Mastercard,Debit,5.89E+15,Feb-22,362,YES,2,23049,01-06-2013,2013,No
6134,1492,Visa,Debit,4.22E+15,May-20,141,YES,1,29734,01-12-2017,2017,No
4818,1492,Visa,Credit,4.45E+15,Jan-20,346,YES,2,27000,01-09-2011,2016,No
2171,1492,Mastercard,Debit (Prepaid),5.34E+15,Nov-22,320,YES,1,18,01-03-2008,2010,No
6106,688,Mastercard,Debit,5.71E+15,Apr-23,824,YES,1,17848,01-12-2015,2015,No
3042,688,Mastercard,Debit,5.24E+15,Nov-22,870,NO,1,25563,01-05-2010,2010,No
5209,688,Visa,Credit,4.74E+15,Apr-20,168,YES,2,12000,01-10-2010,2010,No
1296,688,Amex,Credit,3.62E+14,Nov-18,709,NO,2,6600,01-02-2012,2012,No
389,749,Amex,Credit,3.63E+14,Sep-23,943,NO,1,5600,01-01-2020,2020,No
1773,749,Visa,Debit,4.36E+15,Nov-22,428,YES,3,11873,01-02-2020,2020,No
1467,749,Mastercard,Credit,5.50E+15,Feb-20,871,YES,1,7200,01-02-2020,2020,No
1395,643,Amex,Credit,3.82E+14,Aug-24,145,YES,1,10000,01-02-2020,2020,No
5597,643,Mastercard,Credit,5.08E+15,Apr-23,381,YES,2,500,01-11-2010,2010,No
1468,1219,Mastercard,Debit,5.55E+15,Feb-20,718,YES,1,22697,01-02-2020,2020,No
2309,1219,Mastercard,Credit,5.33E+15,Aug-23,437,YES,1,18000,01-03-2013,2013,No
3466,1219,Mastercard,Debit,5.10E+15,Oct-24,862,YES,1,32903,01-06-2010,2010,No
2804,1198,Visa,Debit,4.49E+15,Aug-21,547,YES,2,12764,01-05-1999,2010,No
1388,1198,Mastercard,Credit,5.62E+15,Oct-22,60,YES,1,6300,01-02-2019,2019,No
4660,898,Mastercard,Debit,5.92E+15,Feb-22,934,YES,2,7541,01-09-2008,2013,No
3356,898,Visa,Debit,4.45E+15,Mar-22,995,YES,2,1266,01-06-2007,2012,No
4870,898,Mastercard,Credit,5.00E+15,Apr-20,263,NO,1,9500,01-09-2014,2014,No
3467,882,Mastercard,Debit,5.71E+15,Apr-20,203,YES,2,1837,01-06-2010,2010,No
1079,882,Mastercard,Debit,5.86E+15,Aug-23,258,YES,2,17453,01-02-2006,2008,No
2977,348,Visa,Debit,4.23E+15,Oct-13,543,NO,1,28283,01-05-2008,2012,No
3073,348,Visa,Credit,4.21E+15,Apr-20,160,YES,1,13500,01-05-2010,2012,No
3554,348,Visa,Credit,4.88E+15,Jul-14,786,YES,2,13300,01-06-2012,2012,No
2597,633,Mastercard,Debit,5.56E+15,Sep-21,69,YES,2,17941,01-04-2009,2009,No
3489,1493,Visa,Credit,4.64E+15,Apr-18,594,YES,1,14400,01-06-2010,2012,No
4003,1493,Visa,Credit,4.24E+15,Apr-20,120,YES,1,4400,01-07-2012,2012,No
1469,1493,Mastercard,Credit,5.16E+15,Mar-20,657,YES,1,13000,01-02-2020,2020,No
1774,1493,Visa,Debit,4.08E+15,Apr-23,72,YES,2,22701,01-02-2020,2020,No
1470,1161,Mastercard,Credit,5.60E+15,Aug-24,934,NO,1,16100,01-02-2020,2020,No
1471,1161,Mastercard,Debit,5.81E+15,Sep-23,138,YES,2,7629,01-02-2020,2020,No
2691,217,Mastercard,Debit,5.57E+15,Mar-22,430,NO,1,16538,01-04-2012,2012,No
174,217,Visa,Debit,4.07E+15,Dec-20,578,YES,2,22746,01-01-2008,2010,No
1364,217,Mastercard,Debit,5.16E+15,Jul-16,743,YES,1,9737,01-02-2016,2016,No
1266,217,Mastercard,Credit,5.36E+15,Jul-19,428,YES,1,6500,01-02-2011,2014,No
1267,217,Mastercard,Debit,5.09E+15,Jun-20,889,YES,2,2650,01-02-2011,2013,No
207,217,Visa,Credit,4.41E+15,May-12,839,YES,2,8200,01-01-2009,2011,No
5448,217,Amex,Credit,3.73E+14,Jan-22,204,YES,2,6200,01-11-2006,2013,No
5449,1877,Amex,Credit,3.67E+14,Jan-21,803,YES,2,22600,01-11-2006,2014,No
2107,1877,Mastercard,Debit,5.26E+15,May-24,428,YES,2,6940,01-03-2006,2009,No
2398,1877,Mastercard,Debit,5.91E+15,Mar-24,410,YES,2,23408,01-04-1996,2008,No
5414,1877,Visa,Credit,4.23E+15,Sep-22,966,YES,2,9700,01-11-2004,2007,No
3758,668,Mastercard,Debit,5.63E+15,Jun-24,992,NO,2,10538,01-07-2006,2006,No
4097,668,Mastercard,Debit,5.75E+15,Mar-23,385,YES,2,6853,01-08-2001,2006,No
5778,668,Mastercard,Debit,5.47E+15,Oct-20,598,YES,2,607,01-12-2002,2010,No
4318,668,Mastercard,Credit,5.76E+15,Aug-21,397,YES,1,0,01-08-2010,2010,No
5015,668,Visa,Debit,4.38E+15,Jun-21,644,YES,2,8253,01-10-2004,2011,No
750,533,Visa,Debit,4.42E+15,Sep-20,847,YES,2,8492,01-01-2020,2020,No
242,203,Visa,Credit,4.72E+15,Jul-22,275,YES,1,9100,01-01-2010,2010,No
3966,203,Mastercard,Credit,5.18E+15,Apr-22,497,NO,2,2600,01-07-2011,2011,No
5375,203,Mastercard,Credit,5.08E+15,May-24,813,NO,1,7300,01-11-2002,2010,No
5166,1738,Visa,Credit,4.84E+15,Aug-20,207,YES,1,15000,01-10-2009,2009,No
1472,1738,Mastercard,Credit,5.13E+15,Apr-24,497,YES,2,18700,01-02-2020,2020,No
751,1738,Visa,Debit,4.04E+15,May-21,579,YES,1,21458,01-01-2020,2020,No
5623,1738,Visa,Credit,4.83E+15,Apr-20,635,NO,1,15700,01-11-2010,2014,No
6099,713,Mastercard,Debit,5.53E+15,Jan-20,13,YES,2,20765,01-12-2014,2014,No
1473,713,Mastercard,Debit,5.14E+15,Jun-22,170,NO,2,18101,01-02-2020,2020,No
1775,713,Visa,Credit,4.41E+15,Nov-24,528,YES,1,8400,01-02-2020,2020,No
447,713,Mastercard,Debit,5.17E+15,Mar-20,66,YES,1,1737,01-01-2020,2020,No
1474,1631,Mastercard,Credit,5.78E+15,Feb-20,217,YES,2,20900,01-02-2020,2020,No
1776,1631,Visa,Credit,4.45E+15,Nov-21,601,YES,1,23700,01-02-2020,2020,No
448,1631,Mastercard,Credit,5.30E+15,Nov-21,989,YES,1,17500,01-01-2020,2020,No
5978,1487,Visa,Debit,4.91E+15,Jun-24,769,YES,1,26083,01-12-2009,2009,No
2978,1487,Visa,Debit,4.39E+15,Oct-22,943,YES,1,31589,01-05-2008,2008,No
4946,1487,Visa,Credit,4.98E+15,Jun-21,453,YES,2,24200,01-10-2000,2013,No
1475,1265,Mastercard,Debit,5.66E+15,Feb-20,190,YES,2,18321,01-02-2020,2020,No
5376,370,Mastercard,Debit,5.38E+15,Oct-22,94,YES,2,7551,01-11-2002,2010,No
4127,370,Mastercard,Debit,5.61E+15,Jun-14,451,YES,1,15377,01-08-2004,2011,No
5093,370,Visa,Debit,4.50E+15,Mar-23,324,YES,1,12990,01-10-2007,2016,No
3490,370,Visa,Debit,4.02E+15,Feb-23,494,YES,1,8509,01-06-2010,2010,No
5702,1014,Visa,Debit,4.47E+15,Nov-14,176,YES,1,96907,01-11-2014,2014,No
2200,1014,Visa,Credit,4.08E+15,Jul-15,45,YES,1,43900,01-03-2008,2013,No
5436,1014,Visa,Debit (Prepaid),4.87E+15,Oct-20,440,YES,2,76,01-11-2005,2007,No
449,290,Mastercard,Debit,5.84E+15,Jan-20,533,YES,2,50915,01-01-2020,2020,No
1777,290,Visa,Debit,4.05E+15,Dec-21,369,YES,2,31767,01-02-2020,2020,No
3862,985,Visa,Credit,4.23E+15,Apr-24,82,YES,2,13200,01-07-2008,2010,No
1268,985,Mastercard,Credit,5.94E+15,Oct-22,372,YES,2,16000,01-02-2011,2012,No
752,985,Visa,Debit,4.75E+15,Jul-24,223,YES,2,18132,01-01-2020,2020,No
2704,985,Visa,Credit,4.86E+15,Feb-19,466,YES,1,300,01-04-2012,2012,No
2808,135,Mastercard,Debit,5.74E+15,Nov-22,714,YES,2,2236,01-05-2000,2015,No
4791,135,Visa,Debit,4.53E+15,Aug-19,451,YES,2,21591,01-09-2010,2010,No
1476,307,Mastercard,Debit,5.96E+15,Apr-20,927,YES,2,11521,01-02-2020,2020,No
753,307,Visa,Credit,4.95E+15,Jun-20,561,NO,1,8600,01-01-2020,2020,No
4112,1783,Amex,Credit,3.24E+14,Mar-20,659,YES,1,9800,01-08-2003,2010,No
1154,1783,Visa,Credit,4.17E+15,Mar-12,902,YES,2,11300,01-02-2008,2009,No
2598,1783,Mastercard,Credit,5.15E+15,Oct-19,492,YES,1,8400,01-04-2009,2011,No
10,1783,Mastercard,Debit,5.51E+15,Dec-23,789,YES,1,16597,01-01-1999,2009,No
4655,1783,Amex,Credit,3.16E+14,Sep-20,876,YES,2,9400,01-09-2008,2008,No
5908,1321,Visa,Debit,4.71E+15,Dec-08,122,YES,1,18702,01-12-2007,2007,No
3357,1511,Visa,Debit,4.73E+15,Jun-22,675,YES,1,24806,01-06-2007,2007,No
5502,1511,Visa,Debit,4.99E+15,May-23,457,YES,1,19856,01-11-2007,2011,No
1238,900,Visa,Debit (Prepaid),4.58E+15,Feb-21,397,YES,2,68,01-02-2010,2010,No
3412,900,Amex,Credit,3.47E+14,Dec-22,791,YES,2,4900,01-06-2009,2009,No
1477,953,Mastercard,Debit,5.78E+15,Feb-22,421,YES,1,13390,01-02-2020,2020,No
1396,953,Amex,Credit,3.43E+14,Nov-24,210,YES,3,8400,01-02-2020,2020,No
1297,233,Amex,Credit,3.74E+14,Mar-24,659,YES,2,13700,01-02-2012,2012,No
3605,406,Discover,Credit,6.31E+15,Nov-24,205,YES,2,4200,01-06-2016,2016,No
5167,1069,Visa,Debit,4.44E+15,Aug-20,424,YES,2,2292,01-10-2009,2015,No
3922,1069,Amex,Credit,3.04E+14,Mar-21,495,YES,1,8800,01-07-2010,2010,No
5453,180,Mastercard,Credit,5.88E+15,Mar-23,312,NO,2,7600,01-11-2006,2009,No
2888,180,Visa,Credit,4.97E+15,Nov-21,756,YES,2,6200,01-05-2005,2018,No
3208,996,Mastercard,Credit,5.78E+15,Jul-23,348,YES,1,12900,01-06-1999,2011,No
4661,996,Mastercard,Debit,5.62E+15,Jun-22,228,YES,2,18820,01-09-2008,2015,No
